171,2,non-spam,spam
0.466666667,0.426666667,0,
0.05,0.4,0,
0.05,0.4,0,
0.089285714,0.660714286,0,
0.125,0.166666667,0,
0.378787879,0.507070707,0,
0,0,0,
0.4,0.55,0,
0.54,0.65,0,
0.625,0.575,0,
0,0,0,
0.3125,0.445833333,0,
0.3125,0.445833333,0,
0.29,0.7,0,
0.521349826,0.657222222,0,
0.521349826,0.657222222,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.166666667,0.666666667,0,
0.166666667,0.666666667,0,
0.425,0.575,0,
0.5,0.888888889,0,
0.255555556,0.422222222,0,
0.152083333,0.565625,0,
-2.78E-17,0.725,0,
0.152,0.438,0,
0.91,0.78,0,
0.069444444,0.380555556,0,
0.069444444,0.380555556,0,
0.133333333,0.8,0,
0.120833333,0.355555556,1,
0,0.3,0,
0,0.3,0,
0.238636364,0.643787879,0,
0.191666667,0.454166667,0,
0.2,0.355555556,0,
0.1,0.35,0,
0.1,0.35,0,
0.220606061,0.58,0,
1,0.75,0,
0.625,0.654166667,0,
0.153333333,0.751666667,0,
0.151785714,0.675,0,
-0.125,0.375,1,
0.199074074,0.507407407,0,
0.302037037,0.533888889,0,
0.279166667,0.590277778,0,
0.65625,1,0,
0.267592593,0.577314815,0,
0.3,0.1,0,
-0.91,0.866666667,0,
0,0,0,
0.7,0.6,0,
0,0,0,
0,0,0,
0,0,0,
0.7,0.6,0,
0,0,0,
0,0,0,
0.9,0.875,0,
-0.073611111,0.251388889,1,
-0.073611111,0.251388889,1,
1,1,0,
0.35,0.55,0,
0.35,0.55,0,
0.408666667,0.422666667,0,
0.192857143,0.471428571,0,
-0.07,0.556666667,0,
0.78,1,0,
0.78,1,0,
0.294444444,0.543055556,0,
-0.05,0.4,1,
0.144444444,0.355555556,0,
0.325,0.625,0,
0,0.345833333,0,
0.175,0.558333333,0,
0.020833333,0.511111111,0,
0.020833333,0.511111111,0,
0.452777778,0.641666667,0,
0,0,0,
0,0,0,
-0.166666667,0.066666667,1,
0.369230769,0.57025641,0,
0.369230769,0.57025641,0,
0,0,0,
0,0,0,
0.1,0.2,0,
0.1,0.2,0,
0.6,0.6,0,
0.6,0.6,0,
0.127281746,0.537698413,0,
1,1,0,
1,1,0,
0.164894134,0.579383579,0,
0.416666667,0.427777778,0,
0.145,0.75,0,
0.45,0.7125,0,
0.329047619,0.482857143,0,
0.329047619,0.482857143,0,
-0.2,0.1,1,
0.37,0.596666667,0,
0.246526611,0.49302521,0,
0.065384615,0.364102564,0,
0,0,0,
0,0,0,
0.214285714,0.357142857,0,
0.214285714,0.357142857,0,
0.6875,0.875,0,
0.7,0.6,0,
0.287222222,0.644259259,0,
0.3,0.2,0,
0.3,0.2,0,
0,0,0,
-0.11375,0.75,0,
0.125,0.75,0,
0.188852814,0.494588745,0,
0.188852814,0.494588745,0,
0.472,0.676,0,
0.218333333,0.736111111,0,
0.218333333,0.736111111,0,
0.64,0.7,0,
0.3,0.419230769,0,
0.3,0.419230769,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.050173611,0.394444444,0,
0,0.05,0,
0,0.05,0,
0.2,0.692307692,0,
0,0,0,
0.176190476,0.418783069,0,
0.35,0.55,0,
0.63,0.82,0,
0.133333333,0.166666667,0,
0.37,0.48,0,
0.190909091,0.325757576,0,
0.190909091,0.325757576,0,
0.4375,0.3825,0,
0.4375,0.3825,0,
-0.00625,0.375,1,
0.7,0.6,0,
0,0,0,
0,0,0,
0.364814815,0.603703704,0,
-0.15,0.683333333,0,
-0.15,0.683333333,0,
0,0,0,
0.177777778,0.266666667,0,
0.177777778,0.266666667,0,
0.177777778,0.266666667,0,
0.177777778,0.266666667,0,
0.177777778,0.266666667,0,
0.177777778,0.266666667,0,
0.261904762,0.452380952,0,
0.261904762,0.452380952,0,
0.47,0.593333333,0,
0.376666667,0.75,0,
0.167708333,0.380555556,0,
0.3825,0.435,1,
0.13,0.55,0,
0.145,0.355,0,
