A103PHKSEPT10R,940160552,04-Jan-01,7,8,4," This is the best and most unbiased history of King Philip's war.  Leach wrote the book; Morrison only wrote the two-page introduction.  Leach tends to be a little ""politically correct"" but in generally he gives us an unbiased history.  "
A103PHKSEPT10R,1568331657,04-Jan-01,5,9,3," This is another ""postmodernist"" history -- one that assumes that the Indians were a spiritual, peace loving, disease free people who communed with nature.   Then came the big bad honkies with their diseases, guns and ""total warfare."" "
A103PHKSEPT10R,B00000FDXV,01-Jan-01,8,8,5, Great wagon train epic.  Randolph Scott gets great support from many fine actors including sidekicks Raymond Hatton and Olin Howland.  Fantastic theme song that will stick in your mind for days.   
A103PHKSEPT10R,6303427197,01-Jan-01,0,3,4," Chic Sales, playing Randolph Scott's sidekick almost up stages Scott.  But's it's a mystery with little shooting and no wild west action scenes.     "
A103PHKSEPT10R,910667012,06-Aug-00,15,19,5," This book not only contains important historical information and wonderful photographs but also timeless advice, counsel, and encouragement. "
A103PHKSEPT10R,939484463,05-Jul-00,69,116,5," I've read Prof Butz's book twice and an still amazed that no big publishing house has printed it.  For history to accept an event as true there must be evidence.   Butz shows that there is only limited evidence  of much of the WW2 Jewish ""holocaust"" stor"
A103PHKSEPT10R,1892796007,29-Jun-00,27,31,5, The autobiographical sections will let you known about his highly unusual activist.  I found him to be much more interesting that the David Duke falsely painted by the media.  The sections on race are devastating!  
A103PHKSEPT10R,936247142,29-Jun-00,4,4,5, Author predicts America will become a multiracial state due to non-White immigration.  This will lead to increased racial problems and groups will seek their own racial enclaves in the US.  Leaving us like the Balkans.   Our once great opportunity will b
A103PHKSEPT10R,873649265,03-Jun-00,1,2,3," Paladin took the good stuff (explosives, etc) out of all their books including Benson's books.  Benson's books and anything from Paladin is now just NWO, PC babyfood.  Too bad.  Maybe, he, himself, will publish all the  good stuff they ripped out.     "
A103PHKSEPT10R,780622278,31-Aug-99,4,5,5," John Waynes best full-length performance. George 'Gabby' Hayes best performace - and that's saying a lot.  Ella Raines is a fantastic, fiery beauty.  Supporting characters a Who's Who of westerns.     "
A103PHKSEPT10R,805738657,22-Mar-99,39,51,5," There have been dozens of poorly researched books written about the White nationalist movement in America, and ""White Power, White Pride!"" is the only exception.  "
A103PHKSEPT10R,871136503,13-Jan-99,12,25,5," Don't let the liberals steer you away from this great and provocative book.  The establishment that believes in open borders, massive non-White immigration, and the inherent equality of all races and ethnic groups hates  this book.  "
A103PHKSEPT10R,961289406,30-Nov-98,13,15,5, The book is well done and Hitler's work from sketches to oil painting is much better than I had expected.  Most interesting is his paintings of great old buildings.
